tijdstip;locatie;component;waarde;LKI
2015-08-05 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,5;3
2015-08-05 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,38;3
2015-08-05 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,11;1
2015-08-05 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;27,22;3
2015-08-05 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,63;1
2015-08-05 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;19,62;2
2015-08-05 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,97;1
2015-08-05 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,22;2
2015-08-05 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,99;1
2015-08-05 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;21,07;3
2015-08-05 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;19,41;2
2015-08-05 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,26;1
2015-08-05 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,03;1
2015-08-05 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;21,07;3
2015-08-05 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,89;3
2015-08-05 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,6;1
2015-08-05 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;32,09;4
2015-08-05 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;24,91;3
2015-08-05 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;14,67;2
2015-08-05 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;44,69;4
2015-08-05 21:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;3,27;1
2015-08-05 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;14,67;2
2015-08-05 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,68;1
2015-08-05 22:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;41,61;4
2015-08-05 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;37,76;4
2015-08-05 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;19,79;2
2015-08-05 23:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,69;1
2015-08-06 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;18,51;2
2015-08-06 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,24;1
2015-08-06 00:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;34,31;4
2015-08-06 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,85;1
2015-08-06 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;14,67;2
2015-08-06 01:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;41,92;4
2015-08-06 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,71;1
2015-08-06 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,67;3
2015-08-06 02:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;17,23;2
2015-08-06 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;21,07;3
2015-08-06 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,19;3
2015-08-06 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,81;1
2015-08-06 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;23,84;3
2015-08-06 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;19,79;2
2015-08-06 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,18;1
2015-08-06 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;2,52;1
2015-08-06 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;42,73;4
2015-08-06 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;31,31;4
2015-08-06 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;68,14;6
2015-08-06 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,64;2
2015-08-06 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;37,71;4
2015-08-06 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;33,87;4
2015-08-06 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;40,21;3
2015-08-06 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;69,69;6
2015-08-06 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;86,87;4
2015-08-06 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;79,89;7
2015-08-06 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;49,23;5
2015-08-06 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;115,55;5
2015-08-06 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;110,8;8
2015-08-06 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;59,47;5
2015-08-06 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;40,27;4
2015-08-06 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;99,54;7
2015-08-06 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;71,33;4
2015-08-06 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;38,99;4
2015-08-06 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;74,36;6
2015-08-06 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;25,51;3
2015-08-06 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;13,39;2
2015-08-06 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;66,8;6
2015-08-06 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;23,51;2
2015-08-06 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;30,81;3
2015-08-06 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;59,58;5
2015-08-06 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;28,75;3
2015-08-06 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;37,34;4
2015-08-06 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;27,47;3
2015-08-06 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;16,45;2
2015-08-06 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;14,67;2
2015-08-06 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,98;2
2015-08-06 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,78;3
2015-08-06 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;15,74;2
2015-08-06 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;8,27;1
2015-08-06 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,78;2
2015-08-06 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;6,99;1
2015-08-06 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;15,45;2
2015-08-06 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,89;2
2015-08-06 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,63;2
2015-08-06 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;14,06;2
2015-08-06 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;10,83;2
2015-08-06 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;14,11;2
2015-08-06 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,08;3
2015-08-06 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;11,99;2
2015-08-06 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;18,24;2
2015-08-06 20:00:00+02:00;Den Haag-Amsterdamse Veerkade;PM10;12,11;2
